name_guest,date_review,overview_rating,overview_text,comment
Dorothy,"Reviewed in the United States on July 21, 2023",3.0 out of 5 stars,Cup,"The cup is made well, but the lid is very loose.  It barely stays on the cup, and if dropped flies right off.  I wouldn’t buy it again because of the lid."
Amazon Customer,"Reviewed in the United States on March 19, 2023",3.0 out of 5 stars,No Lids !!,They do not come w lids.  Easy to knock over so double trouble.
Mrs.Hylton,"Reviewed in the United States on December 26, 2021",3.0 out of 5 stars,Lid doesn’t stay on,I wanted To love this beer cup but the lid doesn’t stay on.
Tamara Hamilton,"Reviewed in the United States on July 20, 2021",3.0 out of 5 stars,No tops came with them,Not tops for the bottles
Lacrosse AZ,"Reviewed in the United States on June 2, 2021",3.0 out of 5 stars,Not happy but not sad???,"Mine does not stay cold, even when put in the freezer. So it is like a throphy wife, looks good but doesn’t do anything."
Carlos y Saudy,"Reviewed in the United States on January 19, 2021",3.0 out of 5 stars,Wrong item sent two times,This is the second time I order these glasses and again they were sent incorrectly. I ordered them white and gold and both time received the stainless steel. It’s a great product but i need it white.
Vegasbrad,"Reviewed in the United States on May 7, 2020",3.0 out of 5 stars,"Work Good, Look Bad","They work well to keep beers cold by the pool and the thin drinking edge makes this better than most others, but don’t expect anything close to perfect finish. Much like other reviewers, I found one had a small but noticeable chip on the side and worse, where the color meets the stainless rim, one was obviously manufactured incorrectly with a pretty substantial blemish and uneven line. You can see it clearly in a pic I took which I’ll attach if I can figure out how. Lucky for me at least both the chip and the manufacturing defect were on the same cup.So if you don’t care about looks and just want good function, these might be for you. If you do care about looks but only really need one glass, get the two-pack and maybe one of them will look like new if you’re lucky. Personally for $35 a set, I expect better quality control and am disappointed. Not upset enough to return them, but I am upset enough to write a review to warn others what to expect. Sorry I didn’t heed the advice of the other reviews I read mentioning this kind of thing happening, but knowing now that flaws really should be be expected, I sure wouldn’t buy another set. Too bad considering how awesome they are otherwise."
Paula,"Reviewed in the United States on November 7, 2019",3.0 out of 5 stars,Did not like the metallic taste,Fits in hand nice but did not like the taste of metal.  Did not keep liquid as cold as I had hoped.
Joseph Abraham,"Reviewed in the United States on October 25, 2019",3.0 out of 5 stars,Not very frosty....,"Beautiful design and feel. Obviously steel is very durable, which is great.However, the cups do very little to keep your beer cold. I put them in the freezer and they quickly return to room temperatureIf you want effective beverage chilling/ frosting you should opt for a two chamber gel/liquid filled mug."
KD,"Reviewed in the United States on September 5, 2019",3.0 out of 5 stars,Keeps drinks cold but coated exterior has been peeling away...yuck,"Like the thin lip and cold drinks,  HATE the fact that the paint / seal coating on exterior has been peeling away.  Looks unsanitary."
Jason Buskirk,"Reviewed in the United States on April 20, 2019",3.0 out of 5 stars,"Performs admirably, but inconsistent quality means its not worth the premium.","I had purchased the Snowfox martini glasses a while back and decided to pick up the beer tumblers.  My only issue with the martini glasses was the inconsistency of the paint - the pinstripe paint had bled into the base of the martini, creating overlaps in color.  However, this was a minor concern.Upon receipt of the beer tumblers, I noticed that one of them had this same issue with paint bleeding over. These particular tumblers also had large scratches and gouges that had removed the coating and the stainless steel can be seen beneath.These tumblers were shipped in a larger box that contained a second shipment of 4 x 20 oz standard beer glasses, which arrived pristine. The shipping box was whole with no dents or perforations, and the empty space was filled with the appropriate packing materials.  The tumblers themselves were coated in foam and plastic inside their original box. I can only assume that these were issues not observed by or did not concern QC at Snowfox and shipped anyway.From a day to day usage standpoint, I don't doubt that these tumblers would perform as well as the other Snowfox products I own - maintain cold temperatures for a significant time, no sweating, comfortable in the hand.  However, the price of the Snowfox products also includes the design of the product, which is a major selling point for me.  It's not worth paying a premium for a product  that lacks in consistency of quality.Based upon current reviews and my past experience, it seems that this not a unique situation, but uncommon.  So buyer beware."
Tammy L McGuckin,"Reviewed in the United States on October 14, 2018",3.0 out of 5 stars,Colors aren't the same between glass styles.,"Love the glass but wanted to match set of rock glasses. Both are labeled as ""soft blue"" but colors are different."
Roy,"Reviewed in the United States on July 6, 2018",3.0 out of 5 stars,"Poor finish (some colors), good performance","I’ve got two sets of vacuum insulated drinkware  from this brand. One set is a highball style with a white finish that is just beautiful, while the other is sort of a pint/beer style with a darker natural finish that was really scratched up right out of the box.As far as performance and use goes, I really like both sets.  For aesthetics and chance of getting something that looks damaged out of the box I recommend avoiding the finishes that display the metal grain.  The ones that I got just look awful.  There are lots (many dozens) of scratches and the finish is also slightly uneven. The white ones, on the other hand are perfect.  I can’t tell by sight whether they are enameled or painted, and who knows how long the finish will hold up, but out of the box they look great.Performance:Last night I pulled one out of the dishwasher and it was HOT.  I put some ice water in it to cool off and 5 minutes later, the outside of the cup was still as hot as it would’ve been without ice water inside.  Pretty snazzy."
