name_guest,date_review,overview_rating,overview_text,comment
Yolanda Fleming,"Reviewed in the United States on May 3, 2023",4.0 out of 5 stars,Broken glass,"These are actually very pretty and heavy but poorly packed, out of four 1 arrived broken.I was so excited about these, sad now ."
Amazon Customer,"Reviewed in the United States on January 4, 2023",4.0 out of 5 stars,Wish a bit finer glass but sassy size made up for it.8,Glasses are easy to hold. Rim good for holding Mara. Salt. Gave a a fun B'thday gift along w 2 types of salt & Tegulia.
B. B. Barksdale,"Reviewed in the United States on January 3, 2023",4.0 out of 5 stars,Margarita glasses,Loved these glasses. Love the shape as it does not tip over like many margarita glasses. I do wish they had been a couple of ounces larger. They were larger than others I found on Amazon but still small.
Tod,"Reviewed in the United States on December 19, 2022",4.0 out of 5 stars,Cool glasses but a bit small for margaritas,A bit small
IrishlasRN,"Reviewed in the United States on November 4, 2022",4.0 out of 5 stars,Small,
Debi,"Reviewed in the United States on October 23, 2022",4.0 out of 5 stars,Marg glasses,They are really pretty- a little lighter than I was thinking - and hoped they’d be a bit bigger .. but definitely refillable!
MissLex,"Reviewed in the United States on October 3, 2022",4.0 out of 5 stars,Not what I imagined..,"These are cute and seem pretty sturdy, but they’re definitely smaller than I imagined. The pictures on Amazon make them seem larger, but in reality, they maybe hold 8 oz of margarita, which for some folks may be adequate, just not for the type of get-togethers that “I” throw lol."
Pamela Faircloth,"Reviewed in the United States on September 30, 2022",4.0 out of 5 stars,Just ok margarita glasses,These are ok for margaritas. They are not very “deep” and therefore don’t hold that much margarita mix.
Juan Exposito,"Reviewed in the United States on September 22, 2022",4.0 out of 5 stars,,Se ven muy bien pero son muy pequeñas 😏
Amazon Customer,"Reviewed in the United States on August 27, 2022",4.0 out of 5 stars,Perfect for Margaritas in  Arizona!,"Great size, sturdy & pretty"
Liz Machala,"Reviewed in the United States on August 17, 2022",4.0 out of 5 stars,2 of the glasses were a littlwcwarped,Two of the glasses were a little warped on brim.  Still kept them since they were just for me.
mnnice,"Reviewed in the United States on August 5, 2022",4.0 out of 5 stars,sturdy,"Be aware.  This item makes a large margarita. Heavy glass and they look the part. Like them a lot, but they do take up a lot of storage space."
Christopher B.,"Reviewed in the United States on July 18, 2022",4.0 out of 5 stars,Too small,Nice glasses but too small for what I was hoping for.
Eric Sexton,"Reviewed in the United States on July 3, 2022",4.0 out of 5 stars,One of them was chipped,"I just got them out of the box and noticed one of them was chipped which is such a bummer. Haven’t even used them yet, so I can’t speak about anything else. I do like their size and shape."
jocelyn mccarty,"Reviewed in the United States on June 30, 2022",4.0 out of 5 stars,Super cute!,These are so cute! They would be great for Margaritas or desserts. I took one star away because one of the glasses has a small chip in it.
Rochelle,"Reviewed in the United States on June 23, 2022",4.0 out of 5 stars,Smaller than I wanted it to be,Smaller than I wanted it to be. I don’t know why but I thought it would be a little bit larger but it is still good.  I chose this to use for margaritas. A few sips and it’s time for a refill. Wish it was bigger
Victoria,"Reviewed in the United States on May 2, 2022",4.0 out of 5 stars,good for the price,glass seems a little thin but great for the price
Long guyland,"Reviewed in the United States on April 21, 2022",4.0 out of 5 stars,Had to get this: relative was having a drink in a restaurant,And made a statement that “ I have to find this “!  I bought it here and gifted it!!!
D M Stark,"Reviewed in the United States on April 11, 2022",4.0 out of 5 stars,Great for Frozen Margaritas and Such,"These glasses have plenty of room for the liquor and the ice in your frozen drink.  And you have to admit, they're cute little guys.  I've been using mine regularly for years, and they show no sign of wear or breakage.  If you don't want a frozen drink, you can just pour your drink in, then fill the remaining space with crushed ice."
George,"Reviewed in the United States on March 17, 2022",4.0 out of 5 stars,Nice design and good value,"Bought them for a Super Bowl party. Two of the six arrived with cracks that appeared to be the result of imperfections. I reported the problem and was offered replacements. I returned the two damaged glasses, but I received six new ones. Excellent customer service!!!"
MrsB,"Reviewed in the United States on March 9, 2022",4.0 out of 5 stars,Great gift,Very pretty and giftable. Sent these to our niece and she sent this picture and said she loves them.
Amazon Customer,"Reviewed in the United States on February 24, 2022",4.0 out of 5 stars,Lot smaller than they look on the pictures.,These are way smaller than they look in the pictures but they are nice looking.
Jessyka Noyes,"Reviewed in the United States on December 25, 2021",4.0 out of 5 stars,Broken,"Overall good glasses, one was damaged when it arrived."
Amazon Customer,"Reviewed in the United States on November 13, 2021",4.0 out of 5 stars,size!,"I like the big size of this glass.  It is heavy too.  It looks a little cheap because of the seam.  Note:  I haven't used them yet, but bought them for Margaritas mostly.  All the others I saw for sale don't compare for theruggedness and size."
Cwesquire,"Reviewed in the United States on August 17, 2021",4.0 out of 5 stars,Cheers!,"These glasses are great.  They are balanced when you hold them, thick enough to be sturdy and not chip when you place the rim in salt/sugar, and, being glass, they are dishwasher safe.One thing to consider is that do not buy these glasses because they are Libbey and you assume that they are made in the USA.  They are not made in the USA."
Placeholder,"Reviewed in the United States on August 4, 2021",4.0 out of 5 stars,Glasses were perfect,"These glasses were perfect, although one glass arrived broken."
Gaetano Vitale,"Reviewed in the United States on July 18, 2021",4.0 out of 5 stars,Good glasses very fragile beautiful,These glasses break very easilyThey are some of the most beautiful glasses I have ever seen
Victa,"Reviewed in the United States on July 14, 2021",4.0 out of 5 stars,Nice Thick Glass,These glasses are nice. There is however a visible line up the side that makes them look less than top quality. Great for the price and great for a party if someone drops one you won’t be upset. Thought they would be a bit shorter and thicker.
Brennanjeanne,"Reviewed in the United States on June 23, 2021",4.0 out of 5 stars,"SO cute, but…..",SO cute!! Just a lot smaller than you’d expect.
Reginald Brown,"Reviewed in the United States on June 20, 2021",4.0 out of 5 stars,12 ounces NOT 16 ounces,"The glasses are very pretty, but I thought I was paying for 16 oz glasses. These glasses are only 12 oz.  I will keep them though."
Buglet,"Reviewed in the United States on June 16, 2021",4.0 out of 5 stars,"Good quality, but four glasses a little larger would’ve been better.","Purchased these as a gift. They were very appreciated. I had margaritas in them at my sisters house a couple weeks after I gave them. They are good quality, but I thought they were a little small."
Nancy,"Reviewed in the United States on May 29, 2021",4.0 out of 5 stars,Cute and sturdy,Cute glasses! My husband and I enjoy filling them with delicious margaritas for taco Tuesdays at home. They are cute and hold a good amount!
Claudine Bouchard,"Reviewed in the United States on April 29, 2021",4.0 out of 5 stars,It’s Margarita time!,These glasses are 99% perfect for drinking Margaritas!  My only negative comment would be that they should be a little sturdier.  They are very thin.
ele,"Reviewed in the United States on April 21, 2021",4.0 out of 5 stars,Like,I like these glasses.  The glass is thin and I wish they were a little larger.  Other than that they are super cute.
Rdick1955,"Reviewed in the United States on April 17, 2021",4.0 out of 5 stars,Cute design and functional,"Have only used them once, but our guests were impressed.  They arrived well packaged without a scratch.  The design is unique and they present a stylish margarita.  This alone makes them worth the purchase.  They are a bit top heavy and will require care in handling.  A little more weight in the stem base and this would have been an easy 5 stars."
Frequent Purchaser,"Reviewed in the United States on February 10, 2021",4.0 out of 5 stars,Just plain fun!,"Recently, I started harvesting wild prickly pear cactus fruit, and making prickly pear margaritas for my wife and me.  We didn't have proper glasses though, until I spotted these.  I mean, all margaritas have that southwest feel, but a glass that looks like a saguaro cactus and has a cactus-based drink, how can you beat that?  They look great and my wife enjoys the drinks even more.  Exceeds my expectations for fun and enjoyment.  See below.Most people start out reviews from one of two positions.  About 5% of all reviews are a one star because the product they received was poor quality, or they did not get it all and the consumer is just mad.  I don’t believe 5% of every product made goes out useless, but everyone who gets a bad unit will tell you.About 90% of reviewers start at 5 stars, and if the reviewer did not find anything heinous about the product, that’s what they give.  To 90% of people, 5 stars means, “it was just ok.”From this day forward, my reviews start from the middle.  Three stars: the product met my expectations.  If I give it four stars, the product exceeded my expectations for quality, value, or performance. In case of five stars, the got itself out of the box itself and walked across the water.If I give a product two stars, it failed to meet my expectations in some way.  Anything deserving the ignominious one star review either went back to the vendor or in the dumpster."
Island Mermaid,"Reviewed in the United States on October 28, 2020",4.0 out of 5 stars,"Beautiful, but sooo small!","I giggled out loud when I opened the box. It’s on me, I should’ve paid attention to the dimensions, but I just never dreamed margarita glasses would be so short & tiny! So, these diminutive, 4-inch (only 4-inch!) glasses were quite a surprise, & actually, an adorable & amusing sight! The only bummer: I need way bigger margarita glasses than this! These don’t hold much liquid at all in the first place, & if you add ice, it’ll be that much less. So unfortunately, they’re not completely practical for me; that said, however, I still might keep them! Why? Because 1) they have a beautiful, modern design, 2) they are a pleasure to hold, as the small, smooth base fits nicely in your hand, & 3) their small size really does make them adorable, & I think they’d charm everyone & give them a chuckle. So, I do still recommend them, as long as you are aware of the dimensions & are okay with very small margarita glasses. Maybe you would put a whole pitcher on the table, & then just keep refilling the glasses? I hope the manufacturer will eventually make & offer a larger size in this same design, though, as I do love every single thing about them except for their size."
Dennis Lello,"Reviewed in the United States on October 3, 2020",4.0 out of 5 stars,Good to the last Drop,Drinking Margaritas
Marc Conte Sr.,"Reviewed in the United States on September 24, 2020",4.0 out of 5 stars,Great Product!,Great product.
Amazon Customer,"Reviewed in the United States on September 22, 2020",4.0 out of 5 stars,One Lonely Margarita Glass.,Arrived Shattered . Looked Like the postal service drop kick it all the way to my home Seller did refunded it after I sent pictures. So they took care of me and but  i ended. buying  local to avoid this mess .The one that did survived looks  nice and really lonely but after a few margaritas who really cares . LOL
Amazon Customer,"Reviewed in the United States on September 16, 2020",4.0 out of 5 stars,Cute but tiny,"These glasses are very cute, just beware they are really small."
Rudy R Pilja,"Reviewed in the United States on September 10, 2020",4.0 out of 5 stars,Very nice but .....,"They packaged and shipped them perfectly ..great looking glass ..but ..I wish they were 12 to 14 oz ..actually kinda small, which means I have to mix more drinks more often, but still worth the money."
Amazon Customer,"Reviewed in the United States on August 31, 2020",4.0 out of 5 stars,"Love the glasses, not packaged for gifting",I ordered these glasses as a wedding gift and they’re adorable but come in a plain brown box with a shipping label on the outside. Hard to gift packaged like this.
S. McIntyre,"Reviewed in the United States on August 17, 2020",4.0 out of 5 stars,Very pretty,"I love the design, but wish they were a little bigger."
Tritium,"Reviewed in the United States on August 14, 2020",4.0 out of 5 stars,Cheap but not the most sturdy,"Our first order of these glasses arrived with one having a chipped base. There were not any glass shards or pieces in the box, so this chip would have happened prior to boxing. Not happy about that.Even with our second order, I noticed that these do not feel very sturdy. Setting them down after a sip, it sounds like they could chip/break easily at any moment. They also have fairly noticeable casting seams on opposing sides.Either way, they're cheap and hold margaritas fine."
LouWho?,"Reviewed in the United States on August 9, 2020",4.0 out of 5 stars,nice,"These are very nice. Maybe thinner glass than I was expecting, so I hope they are durable. I love the shape and very comfortable to hold. The margarita was good too!"
Amazon Customer,"Reviewed in the United States on August 3, 2020",4.0 out of 5 stars,Generally happy with them,"These are cute novelty margarita glasses, but I’m only giving four stars because of quality. For margarita glasses they’re almost too sturdy — would prefer them to be a bit more delicate."
LeroySupree,"Reviewed in the United States on July 29, 2020",4.0 out of 5 stars,great but,"thick and heavy. -1 star due to somewhat poor finishing (noticable, thick ""seams"" that were not filed down after the casting process).overall happy with product."
Jill K,"Reviewed in the United States on July 15, 2020",4.0 out of 5 stars,"Nice glasses, one not useable",Great size and value.  One came with a big chip on the top and had to be thrown away.  Wasn't worth the effort of returning as  we did not really need 12.
Betty Santandrea,"Reviewed in the United States on July 4, 2020",4.0 out of 5 stars,Sturdy and economical,Needed economical sturdy margarita glasses that could fit in the dishwasher.  The Libbey highball glasses are a good size: sturdy and easy to hold.
peter harrison,"Reviewed in the United States on June 30, 2020",4.0 out of 5 stars,for the most part good,they look good and work well for a margaritaA little smaller than I envisaged
Kristina Kociuba ,"Reviewed in the United States on June 26, 2020",4.0 out of 5 stars,Broken glass,One of the glasses were broken.
Beonca Hibbler,"Reviewed in the United States on June 14, 2020",4.0 out of 5 stars,Margarita glasses,Great glasses... love the thickness and the style... one on the glasses is not stable tho ... it wobbles terribly.. don't know if I'll be able to use it... Just make sure all glasses are level because you have a great product
Amazon Customer,"Reviewed in the United States on June 11, 2020",4.0 out of 5 stars,Sturdy margarita glass,"I disliked the heaviness of the glass for drinking, however at the same time the weight makes it great for not tipping over, especially outside in wind."
michael assante,"Reviewed in the United States on June 11, 2020",4.0 out of 5 stars,To small,Nice glass but litle to small for margarita
Gego,"Reviewed in the United States on May 23, 2020",4.0 out of 5 stars,Beautiful,Love them. Just an FYI...These are not lightweight but that is one of the reasons I like them..very pretty
Daijanique,"Reviewed in the United States on May 4, 2020",4.0 out of 5 stars,Margarita Glasses,I would’ve given this 5 stars but one of my glasses came damaged. Overall I am please with this purchase that I made for margaritas on cinco de mayo.
Kindle Customer,"Reviewed in the United States on April 24, 2020",4.0 out of 5 stars,On broken item in order.,There was one broken glass in the order.
Amazon Customer,"Reviewed in the United States on April 13, 2020",4.0 out of 5 stars,Decent for the price!,"Smaller than I imagined, but overall pretty cute margarita glasses!"
Ricardo M. Cabrera,"Reviewed in the United States on February 8, 2020",4.0 out of 5 stars,Party glasses,Nice glasses. A bit small.
Paul Cronin,"Reviewed in the United States on January 26, 2020",4.0 out of 5 stars,They were an OK value for the money,They were an OK value for the money
Mario C.,"Reviewed in the United States on January 2, 2020",4.0 out of 5 stars,Great,In our beach house
Lyn Hepner,"Reviewed in the United States on December 14, 2019",4.0 out of 5 stars,Substantial and sturdy,Sturdy and solid
JG28804,"Reviewed in the United States on November 29, 2019",4.0 out of 5 stars,Heavy!,"These are attractive glasses, but they are really heavy! Each glass weighs 1 lb. 4 oz; when filled with a margarita and ice, 1 lb. 12 oz. Don't give one to anyone who has any trouble lifting or holding items due to arthritis, etc. On the plus side, you can tell yourself that you are getting a workout at happy hour."
Marge,"Reviewed in the United States on November 25, 2019",4.0 out of 5 stars,Sitting,"The product is fine but just so you know it was a very rainy day here, all day and UPS left the box outside with no plastic bag protection.  They had no idea what was inside, you need to notify them of weather prottectiin protocol"
Ken,"Reviewed in the United States on November 13, 2019",4.0 out of 5 stars,Smaller than expected,"Functional and nice looking, however small and does not hold much."
steve griffin,"Reviewed in the United States on October 10, 2019",4.0 out of 5 stars,Good Buy,Little smaller than I hoped for.
Brittany H,"Reviewed in the United States on September 22, 2019",4.0 out of 5 stars,Ok,Small & 2 were broken but overall fine for a girls night.
Rashelle,"Reviewed in the United States on September 20, 2019",4.0 out of 5 stars,Ok,"I wanted these margarita glasses because I have other sizes this color, brand & style, I was disappointed by how thin the glass is compared to my drinking glasses."
Martha Owen,"Reviewed in the United States on September 17, 2019",4.0 out of 5 stars,Size,Like but were much smaller than I expected
Amazon Customer,"Reviewed in the United States on August 26, 2019",4.0 out of 5 stars,A little small,"I thought they would be bigger, but they’re quite small. It’s a very GOOD product, but I guess I was thinking they were bigger."
Jim Christner,"Reviewed in the United States on August 26, 2019",4.0 out of 5 stars,Quality feel!  All glasses where packaged nicely and no broken or chipped glasses.,"Glasses are heavy and feel like quality!  Only issue I have is there is a line in the glass maybe where it come together or something.  Very small issue, but other than that, I love the glassed"
Jerome ,"Reviewed in the United States on August 12, 2019",4.0 out of 5 stars,Good gift,Good gift. She liked it.
Ian S.,"Reviewed in the United States on July 20, 2019",4.0 out of 5 stars,ok glasses,not bad for the price but they are small
Rosalva Ramirez,"Reviewed in the United States on July 12, 2019",4.0 out of 5 stars,The best Marigaritas Glasses,The texter of the margaritas glasses are thick and unbreakable.
Louise Arndt,"Reviewed in the United States on June 28, 2019",4.0 out of 5 stars,Perfect for a margarita bar,"Perfect option for a margarita bar, best deal I found"
Chacko Manimala,"Reviewed in the United States on March 21, 2019",4.0 out of 5 stars,Decent for the money,"When it got delivered, 1 glass was broken."
eileen,"Reviewed in the United States on January 31, 2019",4.0 out of 5 stars,Very nice,Great idea to keep the glass from falling over.  They are a little smaller than I expected but this is for a rental property so we like to have things that are less likely yo break.
Kindle Customer,"Reviewed in the United States on January 24, 2019",4.0 out of 5 stars,cute margarita glasses,This was a gift for my daughter.  They are very cute and unusual.  No as tippy as most margarita glasses.  They were smaller than I thought.
Stacey K,"Reviewed in the United States on January 23, 2019",4.0 out of 5 stars,Great shape!,Love this shape for margarita glasses; very stable and being able to fill the stem is a great idea!
DogMom2Boys,"Reviewed in the United States on December 19, 2018",4.0 out of 5 stars,Good price for quality,Bought for a birthday present but two were broke inside the box.  I didn't want to deal with the hastke of returning them and rising another package arriving damaged so I just gave my mom ten of them.
Brenton Koch,"Reviewed in the United States on December 14, 2018",4.0 out of 5 stars,"1 came broken, but they are nice glasses","1 of the glasses arrived in pieces inside the box so I only got three.  Not likely Libbey's fault though, just a bummer.  Maybe pack them in some crumpled paper or bubble wrap or something would help prevent that.  But they're great glasses"
A&W,"Reviewed in the United States on December 11, 2018",4.0 out of 5 stars,Great Margarita Glasses!,"I bought these for use as advertized, for margaritas! I’m very happy with them. Delivery was quick, they were very well packaged to avoid damage, and they are even heavier than I expected. I’m very happy with them!"
M. Butler,"Reviewed in the United States on November 26, 2018",4.0 out of 5 stars,Fun,Neat margarita glasses...fun for parties or just for a day on the patio for yourself.
UrsulaC,"Reviewed in the United States on October 8, 2018",4.0 out of 5 stars,Nice and heavy.,"Do not care for the seam on the glass, but after one  margherita it's all good! Love my glasses!"
Erika,"Reviewed in the United States on September 23, 2018",4.0 out of 5 stars,Awesome glasses!,"They’re great for the price, only problem is they’re a little small."
Lori Coalts,"Reviewed in the United States on August 16, 2018",4.0 out of 5 stars,... a blemish in the glass but over all a beautiful set of glasses and still very useable,One glass has a blemish in the glass but over all a beautiful set of glasses and still very useable.
Gail Eby,"Reviewed in the United States on July 19, 2018",4.0 out of 5 stars,Great Margarita Glasses,This is a bridal shower gift that was on their registry.  Great glasses and was delivered within the week.
Freddie,"Reviewed in the United States on July 17, 2018",4.0 out of 5 stars,One crack and don’t know what to do ??,I bought totally 24 pcs (two boxes ) - we just found one of these were cracked - others are all okie !
N Blum,"Reviewed in the United States on June 29, 2018",4.0 out of 5 stars,Four Stars,They are as expected.
BernieFL,"Reviewed in the United States on June 10, 2018",4.0 out of 5 stars,Four Stars,Very nice glasses. A little heavier than I expected but good.
D. Snavely,"Reviewed in the United States on June 6, 2018",4.0 out of 5 stars,Four Stars,Beautiful heavyweight glasses! NOT the thin easily breakable type...Really like them!!
Deedle,"Reviewed in the United States on May 6, 2018",4.0 out of 5 stars,Great glasses.,Great glasses...these freeze well. I wish they were 2 oz bigger. A standard measured margarita just barely fits in the glass.
Raphael,"Reviewed in the United States on December 6, 2017",4.0 out of 5 stars,But the glasses themselves are beautiful and look very solid,"Well, for anyone worried about glass breaking in transit, even though this was FBA, the seller had the individual glasses wrapped with so much bubble wrap in a separate box, they were invincible.  The only negative about that is there is no original box as you would find in stores, which is a minor issue if you intended to give them as a gift as I do.  Also no way of knowing if they are new or, in fact, Libbey glass even.  But the glasses themselves are beautiful and look very solid, so it’s a trade off.  I think the recipient will love them regardless, so really just a small issue on my part."
Amy   Huston,"Reviewed in the United States on November 16, 2017",4.0 out of 5 stars,so were glad to find more,"We had one, so were glad to find more. One had a bubble flaw in it, otherwise fine."
Selene,"Reviewed in the United States on February 23, 2024",4.0 out of 5 stars,,Me gustaron . Están muy lindos !
kim,"Reviewed in the United States on January 25, 2024",4.0 out of 5 stars,They are beautiful.,They are nice glasses. Will have to wait Tom see how they hold up.delivery was on time and delivered great.
Chantal L.,"Reviewed in the United States on January 6, 2024",4.0 out of 5 stars,Poor packaging,"The product is wonderful, however it arrived in a box with zero foam or packing protection, just a card board box with separators. 2 of my glasses were broken when they arrived."
Sue,"Reviewed in the United States on January 2, 2024",4.0 out of 5 stars,Classy,"Very nice glasses. Love the shape, rim is nice to drink from, the way this glass is made with the indents, very easy to hold and fits hand well. One glass was broken, the larger one when I received these."
william b jensen,"Reviewed in the United States on December 18, 2023",4.0 out of 5 stars,Good glasses,They are just what I wanted.
Gene,"Reviewed in the United States on November 30, 2023",4.0 out of 5 stars,Great glasses,Packed in cardboard sections no breakage.
Ashley Smith,"Reviewed in the United States on November 21, 2023",4.0 out of 5 stars,Mostly good but 2 issues,"4 stars because only 14 of the 16 glasses were in normal condition. One arrived cracked, which may be a shipping issue, but another has a strange wrinkled texture on the outside."
Robin S,"Reviewed in the United States on November 20, 2023",4.0 out of 5 stars,Very nice but 1 arrived with a crack,I really like the feel & weight of these glasses. However one if the smaller ones came with a crack in the dimpled area. I don't want to send them all back so I guess I'm stuck with only 15 glasses.
yvette geren,"Reviewed in the United States on November 19, 2023",4.0 out of 5 stars,Good buy,Thick glass and durable.  Price was a great deal for 12 glasses
C. Spencer,"Reviewed in the United States on October 23, 2023",4.0 out of 5 stars,"Good, Easy to Hold Glasses","The two glasses on the left are old.  The two glasses on the right are the new glasses.  I am another shopper who bought these 16 oz. glasses years ago and needed replacements for the ones I dropped.  They are very similar, but 1.3 oz heavier.  The bottoms are thicker, but they hold 16 oz. and will work just fine.  I don't think my guests will notice.  I never had the 8 oz. glasses, but I put my 8 oz glasses in a give-a-way box and replaced them with these.  I still had 6 tall glasses, so I added 4 of these and put 4 tall glasses and 4 short glasses in the closet for next time I break one.They came well packed, no breakage."
Pablo E,"Reviewed in the United States on October 10, 2023",4.0 out of 5 stars,"Crooked, uneven","As others have mentioned the heights of the glasses vary by up to 1/8"" and some are slightly tilted. It is difficult to notice if a single glass is sitting by itself though. Overall would buy again for the thin wall design and American made."
Sarah  Burt,"Reviewed in the United States on October 1, 2023",4.0 out of 5 stars,Decent,Nice glasses
Erick,"Reviewed in the United States on September 7, 2023",4.0 out of 5 stars,Good glasses,"Make sure you inspect each glass before washing and after washing for the first. They do have imperfections. But, I do love the two tone cloudy design and circular shape."
Marian Kline,"Reviewed in the United States on September 6, 2023",4.0 out of 5 stars,Heavy Duty,I can't say there is anything really special about them.  They are serviceable glasses for daily use and quite sturdy.  I actually got them because the squarish shape glasses I have now for daily use tend to get knocked over by people who are not used to grasping a square glass.  Maybe these will solve that problem when I have friends over or dinner?  LOL!
Taylor,"Reviewed in the United States on August 22, 2023",4.0 out of 5 stars,Modern and Unique!,"I Just LOVE THESE GLASSES!!  They are modern and chic, easy to hold.  On the flip side, they aren't very ""thick,"" the glass material is very durable, but you must wash with care to prevent breaking.  Overall, great product!"
Kindle Customer,"Reviewed in the United States on August 12, 2023",4.0 out of 5 stars,"Beautiful, but fragile","These are my favorite glasses! They are gorgeous and easy to hold, but they are sooo fragile and when they break they shatter into micro pieces. I've never seen a glass breaking into such small pieces.Anyway, I love them so much that I bought a second set after more than half of the first broke. (A couple broke in the dishwasher and a few in the sink while washed by hands and the kids dropped a few as well)"
Sydney,"Reviewed in the United States on August 9, 2023",4.0 out of 5 stars,Uneven,"One of my glasses had an uneven rim, but other than that I love these glasses. They're beautiful."
Amanda Treadway,"Reviewed in the United States on July 31, 2023",4.0 out of 5 stars,Cute,Good looking basic daily glasses. I do prefer a little thicker glass but they look nice.
Susan,"Reviewed in the United States on July 9, 2023",4.0 out of 5 stars,"Great everyday glasses, some durability concerns","The glasses are great everyday glasses. However, I have had some breakage issues in the dishwasher and even getting ice from the freezer broke one."
Lovin’ life,"Reviewed in the United States on July 8, 2023",4.0 out of 5 stars,Beautiful set but thin,"These are very pretty glasses, nice and weighted on the bottom but you can tell by how thin they are that it’s just a matter of time before they break. I only took one star off for the thinness otherwise very pretty."
Lori Hale,"Reviewed in the United States on June 20, 2023",4.0 out of 5 stars,thick glass,I love how thick the glass is and the rounded bottom
Amanda,"Reviewed in the United States on June 12, 2023",4.0 out of 5 stars,Perfect sizes,"Perfect sized cups, design is minimal, a good purchase overall!"
Amazon Customer,"Reviewed in the United States on June 8, 2023",4.0 out of 5 stars,Nice glasses,I love the style of these glasses but they have an unsightly seam.
Donna M.,"Reviewed in the United States on June 5, 2023",4.0 out of 5 stars,Sturdy with irregularities,"Overall happy with my new glasses.  Feel good in hand just enough weight to both sizes and sturdy.  I like the glass thickness and clear shape.  Noticed a couple of bumps on 2 glasses on the rim, but it's smooth so whatever I can still use it.  Fit our needs to have more glasses.  One already broke so at this rate I am glass we have so many!"
Ginger ,"Reviewed in the United States on June 3, 2023",4.0 out of 5 stars,Quite heavy,Great quality and chip resistant--just heavier than expected so not so good for younger kids or frail elderly folks.
LISA SWINDLE,"Reviewed in the United States on May 8, 2023",4.0 out of 5 stars,Very pretty!,Exactly what I expected.
mark uswewicz,"Reviewed in the United States on May 3, 2023",4.0 out of 5 stars,Looks great and very sturdy,arrived earlier than expected. Boxed carefully and easy to remove from packing. Product is exactly as it looks and is very sturdy. Looks great in my cabinet.
lucky17,"Reviewed in the United States on April 23, 2023",4.0 out of 5 stars,Broke,They are really nice but not dishwasher friendly as stated. Most of them broke in the dishwasher so it was an unfortunate waste of money but they are nice looking and heavy.
C. Raul,"Reviewed in the United States on April 21, 2023",4.0 out of 5 stars,Dark,Glasses are darker than pictured
Marymoore,"Reviewed in the United States on April 19, 2023",4.0 out of 5 stars,Very pretty glasses,"I love these glasses. They are the perfect shape and size for us, but they do break very easily. We've lost several in a short period of time unfortunately."
alan niesen,"Reviewed in the United States on April 16, 2023",4.0 out of 5 stars,Libbey Classic Smoke 16-Piece Tumbler,"Nice glasses, tend to break easily.  You only can by them in the double sized set."
Corissa,"Reviewed in the United States on April 6, 2023",4.0 out of 5 stars,One has a flaw,"This would be a 5 star however I noticed one of the smaller glasses has a small ring around the outside , almost like a crack but it’s perfectly round and doesn’t leak . None of the rest does. Other than that I love these glasses"
kb,"Reviewed in the United States on March 21, 2023",4.0 out of 5 stars,"Fine, but a few have broken","I bought these glasses 3 years ago. In the last 3 years, a few of the glasses have broken spontaneously (no hot liquids or abrupt temperature changes). Other than that, no problems."
Sandy,"Reviewed in the United States on February 22, 2023",4.0 out of 5 stars,Nice Glasses,They are nice to hold.  Unfortunately one of the 16 had a warped edge to it but the rest were perfect so I let it slide.  Nice and heavy.  Sturdy.  I'm happy with them.
Ashley watcher,"Reviewed in the United States on February 22, 2023",4.0 out of 5 stars,I like them so far.,"So I read all the 1 star reviews and decided to do a really good look over on these before I kept them.Not a single one was broken, not a single one is purple, and not a single one has cracks or chips.They did come dirty, but that’s okay because there is a paper in the box that states they are shipped directly from the manufacturer and that they need to be washed. It’s cardboard powder and it came off with a rise.The base is thick and sturdy, while it does thin out a lot towards the top, so if you don’t like thin glass this isn’t for you.These are gentle glasses, but in my opinion all glass should be cared for gently. Otherwise I recommend getting plastic or acrylic.Also it’s glass it’s not 100 percent perfect. It will be as close as possible to perfect, but there are chances it will have slight bubbles, bumps, and even be a tiny bit taller or shorter.These specific glasses I received are all practically identical.We will see how they handle in a dish washer although I’m more of a wash by hand person."
Leah Cox,"Reviewed in the United States on February 13, 2023",4.0 out of 5 stars,Good quality glasses,Everything arrived intact. The glass is somewhat thin though. Just be careful with them.
Shanna,"Reviewed in the United States on January 18, 2023",4.0 out of 5 stars,Funky Glasses,I got these because they’re different. They’re sturdy and the glass is thick. The seam is visible and you can feel it which is a little annoying. I was not expecting it to take so long to get used to drinking out of them.
Rachel,"Reviewed in the United States on December 26, 2022",4.0 out of 5 stars,Repeat purchase,"We like the look of these glasses, seem to have to order a new set every 8 months or so as they tend to break in the dishwasher easily. No other issue breaking otherwise. Good look."
Phyllis Selvaggio,"Reviewed in the United States on December 18, 2022",4.0 out of 5 stars,Coolest Drinking Glasses!,"I am in love with these glasses!  They are weighted on the bottom so they don't tip over easily, and the curve in the glass makes it ergonomically fit your hand perfectly.  They look great!  The only reason I didn't give 5 stars is for quality.  On some of the glasses, you can see and feel the seam where the two sides were melded together.  Other than that, they're awesome."
Patricia K Moral,"Reviewed in the United States on December 11, 2022",4.0 out of 5 stars,Nice glassware can’t get over the fact that there were two missing,"Nice glassware set, very simple but elegant. My only disappointment is there were two of the large glasses missing."
Marie S.,"Reviewed in the United States on December 6, 2022",4.0 out of 5 stars,Beautiful but arrived broken,Beautiful set but one of the glasses arrived broken
